University,Campus,Exact Location,Scholarship OR Loan,Hostel Accomodation,BS in Engrr Programs/Total Fee,BS Admission Criteria (Engrr Programs),BS in Science Programs/Total Fee,BS Admission Criteria (Sciences Programs),BS in Arts-Commerce/Total Fee,BS Admission Critera (Arts/Commerce),MS in Sciences Programs/Total Fee,MS Admission Criteria (Sciences Programs),MS in Engr Programs/Total Fee,MS Admission Criteria (Engr Programs),PHD in Sciences/Total Fee,PHD in Sciences Admission Criteria,PHD in Engrr/Total Fee,PHD in Engrr Admission Criteria
FAST NUCES,PWR,"Jamrud Road 160 Industrial Estate Road, Phase 1 Hayatabad, Peshawar, Khyber Pakhtunkhwa, Pakistan",Yes,Yes,"[{'BSSE': 1145000}, {'BSEE': 1170500}]","[60, 60, None, None]","[{'BSAI': 1162000}, {'BSCS': 1145000}, {'BSRB': 1196000}]","[60, 50, None, None]",[None],[None],"[{'MSCS': 255000}, {'MSDS': 255000}]","[60, 50]",[{'MSEE': 255000}],"[60, 50]",[{'PHDCS': 153000}],"[70, 60]",[{'PHDEE': 153000}],"[70, 60]"
FAST NUCES,Islamabad," A.K Brohi Road, H 11/4, Islamabad",Yes,No,"[{'BSSE': 1145000}, {'BSEE': 1170500}]","[60, 60, None, None]","[{'BSAI': 1162000}, {'BSCS': 1145000}, {'BSRB': 1196000}, {'BSAF': 1153500}, {'BSBA': 1145000}, {'BSCY': 1145000}, {'BSDS': 1162000}, {'BSFT': 1179000}]","[60, 50, None, None]",[{'BBA': 1145000}],"[60, 60, None, None]","[{'MSCS': 255000}, {'MSDS': 255000}]","[60, 50]",[{'MSEE': 255000}],"[60, 50]",[{'PHDCS': 153000}],"[70, 60]",[{'PHDEE': 153000}],"[70, 60]"
FAST NUCES,Lahore,"Block-B, Faisal Town, Lahore.",Yes,No,"[{'BSSE': 1145000}, {'BSEE': 1170500}, {'BSCE': 1196000}]","[60, 60, None, None]","[{'BSCS': 1145000}, {'BSRB': 1196000}, {'BSAF': 1153500}, {'BSBA': 1145000}, {'BSDS': 1162000}]","[60, 50, None, None]",[{'BBA': 1145000}],"[60, 60, None, None]","[{'MSCS': 255000}, {'MSDS': 255000}]","[60, 50]",[{'MSEE': 255000}],"[60, 50]",[{'PHDCS': 153000}],"[70, 60]",[{'PHDEE': 153000}],"[70, 60]"
FAST NUCES,Karachi,"St-4 Sector 17-D On National Highway Karachi, Pakistan.",Yes,No,"[{'BSSE': 1145000}, {'BSEE': 1170500}]","[60, 60, None, None]","[{'BSAI': 1162000}, {'BSCS': 1145000}, {'BSRB': 1196000}, {'BSBA': 1145000}, {'BSCY': 1145000}]","[60, 50, None, None]",[None],[None],"[{'MSCS': 255000}, {'MSDS': 255000}]","[60, 50]",[{'MSEE': 255000}],"[60, 50]",[{'PHDCS': 153000}],"[70, 60]",[{'PHDEE': 153000}],"[70, 60]"
FAST NUCES,Chiniot-Faisalabad,"FAST-NU, FAST Square, 9 Km from Faisalabad Motorway Interchange towards Chiniot",Yes,Yes,"[{'BSSE': 1145000}, {'BSEE': 1170500}]","[60, 60, None, None]","[{'BSAI': 1162000}, {'BSCS': 1145000}, {'BSRB': 1196000}, {'BSBA': 1145000}]","[60, 50, None, None]",[{'BBA': 1145000}],"[60, 60, None, None]","[{'MSCS': 255000}, {'MSDS': 255000}]","[60, 50]",[{'MSEE': 255000}],"[60, 50]",[{'PHDCS': 153000}],"[70, 60]",[{'PHDEE': 153000}],"[70, 60]"
